Ranking,Title, Rate
1,United States of America,655 
2,El Salvador,604 
3,Turkmenistan,552 
4,Virgin Islands (USA),542 
5,Thailand,529 
6,Rwanda,511 
7,Cuba,510 
8,Maldives,499 
9,Northern Mariana Islands (USA),482 
10,Virgin Islands (United Kingdom),470 
11,Bahamas,442 
12,Grenada,426 
12,St. Vincent and the Grenadines,426 
14,Seychelles,415 
15,Panama,401 
16,St. Kitts and Nevis,393 
17,Guam (USA),381 
18,Costa Rica,374 
19,Anguilla (United Kingdom),367 
20,Cayman Islands (United Kingdom),365 
21,Russian Federation,364 
22,Belize,356 
23,Brazil,348 
24,Palau,345 
24,American Samoa (USA),345 
26,Belarus,343 
27,Nicaragua,332 
28,Turkey,324 
29,Antigua and Barbuda,321 
30,Bermuda (United Kingdom),319 
31,Puerto Rico (USA),313 
32,Barbados,300 
33,Cape Verde (Cabo Verde),296 
34,Namibia,295 
34,Uruguay,295 
36,Iran,294 
37,Trinidad and Tobago,292 
38,Dominica,289 
39,Guyana,284 
40,St. Lucia,280 
41,Peru,278 
42,South Africa,275 
43,Georgia,270 
44,Taiwan,265 
45,Swaziland/eSwatini,258 
46,Greenland (Denmark),249 
47,Colombia,246 
48,French Guiana/Guyane (France),243 
49,Chile,238 
50,Dominican Republic,237 
51,Curaçao (Netherlands),236 
52,Azerbaijan,235 
52,Lithuania,235 
54,Israel,234 
54,Morocco,234 
54,Bahrain,234 
57,Ecuador,233 
58,Malaysia,230 
58,Argentina,230 
60,Honduras,229 
60,Cook Islands (New Zealand),229 
62,Martinique (France),215 
63,Mauritius,212 
63,Macau (China),212 
65,Fiji,210 
66,Botswana,208 
67,French Polynesia (France),204 
67,Samoa,204 
67,Guadeloupe (France),204 
70,New Zealand,201 
71,Czech Republic,199 
71,Singapore,199 
71,Paraguay,199 
74,Jordan,197 
74,Poland,197 
74,Saudi Arabia,197 
77,Slovakia,195 
77,Latvia,195 
79,Moldova (Republic of),194 
80,Cambodia,193 
81,Gabon,191 
82,New Caledonia (France),189 
83,Estonia,187 
84,Montenegro,183 
84,Suriname,183 
86,Tunisia,181 
87,Philippines,179 
87,Albania,179 
89,Venezuela,178 
90,Hungary,173 
91,Myanmar (formerly Burma),171 
92,Australia,170 
93,Tonga,166 
94,Aruba (Netherlands),165 
94,Gibraltar (United Kingdom),165 
96,Mexico,163 
97,Kyrgyzstan,161 
98,Bolivia,158 
99,Kuwait,157 
100,Kazakhstan,156 
101,Serbia,154 
102,Sint Maarten (Netherlands) ,153 
103,Algeria,151 
104,Uzbekistan,150 
105,United Kingdom: Scotland,149 
106,Ukraine,148 
107,North Macedonia,146 
107,Zambia,146 
109,Bhutan,145 
110,Guatemala,143 
111,Nauru,140 
112,United Kingdom: England & Wales,139 
113,Jamaica,138 
114,Vietnam,135 
115,Brunei Darussalam,134 
116,Malta,131 
116,Mayotte (France),131 
118,Jersey (United Kingdom),129 
119,Guernsey (United Kingdom),127 
119,Spain,127 
119,Ethiopia,127 
119,"Micronesia, Federated States of",127 
123,Iraq,126 
123,Lebanon,126 
125,Portugal,125 
125,Bulgaria,125 
125,Isle of Man (United Kingdom),125 
128,Cameroon,124 
129,Tajikistan,121 
130,Reunion (France),120 
131,Armenia,119 
131,Laos,119 
133,China,118 
134,Sao Tome e Principe,116 
134,Egypt,116 
136,Uganda,115 
137,Zimbabwe,114 
138,Kiribati,113 
139,Mongolia,110 
139,Tuvalu,110 
141,Hong Kong (China),109 
141,Republic of (South) Korea,109 
143,Canada,107 
143,Romania,107 
145,Luxembourg,105 
145,France,105 
145,Sri Lanka,105 
148,United Arab Emirates,104 
149,Italy,102 
149,Kenya,102 
151,Libya,99 
152,Indonesia,98 
152,Austria,98 
154,Greece,95 
154,Kosovo/Kosova,95 
154,Belgium,95 
157,Madagascar,93 
157,Angola,93 
159,Lesotho,92 
160,Burundi,89 
161,Afghanistan,88 
162,Cyprus (Republic of),86 
163,Monaco,83 
164,Switzerland,81 
165,Haiti,80 
166,"Ireland, Republic of",79 
166,Nepal,79 
168,Germany,78 
168,Croatia,78 
168,Solomon Islands,78 
171,United Kingdom: Northern Ireland,77 
172,Senegal,76 
173,Malawi,73 
173,Bosnia and Herzegovina: Federation,73 
175,Vanuatu,72 
176,Slovenia,69 
176,Andorra,69 
178,Benin,68 
179,Marshall Islands,66 
179,Cote d'Ivoire,66 
179,Togo,66 
179,Bosnia and Herzegovina: Republika Srpska,66 
179,Djibouti,66 
184,Denmark,63 
184,Equatorial Guinea,63 
184,Norway,63 
187,Papua New Guinea,62 
188,Netherlands,61 
188,Mozambique,61 
190,Sierra Leone,60 
190,Syria,60 
192,Tanzania,59 
192,Sweden,59 
192,Chad,59 
195,Gambia,58 
196,Yemen,53 
196,Qatar,53 
198,Bangladesh,52 
198,Timor-Leste (formerly East Timor),52 
198,Ghana,52 
198,Sudan,52 
198,South Sudan,52 
203,Finland,51 
204,Liberia,50 
205,Mauritania,46 
206,Niger,44 
207,Pakistan,40 
207,Burkina Faso,40 
207,Japan,40 
210,Nigeria,37 
210,Iceland,37 
212,Oman,36 
213,India,33 
213,Mali,33 
215,Liechtenstein,31 
216,Democratic Republic of Congo ,29 
217,Guinea (Republic of),28 
218,Comoros,27 
218,Congo (Republic of),27 
220,Central African Republic,16 
221,Faeroe Islands (Denmark),12 
222,Guinea Bissau,10
