Uniform Crime Reporting Statistics - UCR Data Online
http://www.ucrdatatool.gov/
    
Estimated violent crime rate
Year,Illinois,Indiana,New York,South Carolina,United States-Total
1960,         365.1,          84.6,,         143.7,         160.9
1961,         362.2,          85.8,,         137.8,         158.1
1962,         383.7,          88.9,,         123.6,         162.3
1963,         330.3,         102.7,,         164.1,         168.2
1964,         351.9,         136.0,,         165.9,         190.6
1965,         322.7,         137.1,         325.4,         177.2,         200.2
1966,         364.8,         146.3,         342.6,         226.0,         220.0
1967,         394.3,         162.9,         409.7,         231.4,         253.2
1968,         408.0,         201.9,         543.9,         217.4,         298.4
1969,         448.5,         198.1,         577.9,         239.6,         328.7
1970,         467.9,         234.6,         685.0,         286.1,         363.5
1971,         477.3,         247.1,         788.7,         311.7,         396.0
1972,         508.1,         245.1,         754.3,         386.9,         401.0
1973,         555.9,         257.6,         741.7,         394.6,         417.4
1974,         627.1,         293.3,         803.0,         455.7,         461.1
1975,         670.2,         332.8,         856.4,         511.4,         487.8
1976,         625.8,         315.4,         868.1,         599.2,         467.8
1977,         630.6,         310.6,         831.8,         636.2,         475.9
1978,         676.7,         323.5,         841.0,         637.6,         497.8
1979,         743.9,         338.0,         917.4,         678.3,         548.9
1980,         808.0,         377.8,       1029.5,         660.0,         596.6
1981,         792.5,         341.6,       1069.6,         640.4,         593.5
1982,         774.3,         300.6,         990.1,         720.0,         570.8
1983,         728.1,         283.8,         914.1,         616.8,         538.1
1984,         724.9,         305.2,         914.3,         624.5,         539.9
1985,         714.8,         309.4,         929.9,         631.0,         558.1
1986,         808.9,         307.7,         985.9,         674.6,         620.1
1987,         796.2,         328.5,       1008.1,         664.9,         612.5
1988,         810.4,         380.0,       1097.3,         741.2,         640.6
1989,         845.9,         406.5,       1131.2,         813.7,         666.9
1990,         967.4,         473.9,       1180.9,         976.6,         729.6
1991,       1039.2,         505.3,       1163.9,         972.5,         758.2
1992,         977.3,         508.5,       1122.1,         944.5,         757.7
1993,         959.7,         489.1,       1073.5,       1023.4,         747.1
1994,         960.9,         525.1,         965.6,       1030.5,         713.6
1995,         996.1,         524.7,         841.9,         981.9,         684.5
1996,         890.4,         537.0,         727.0,         996.9,         636.6
1997,         861.4,         514.6,         688.6,         990.3,         611.0
1998,         807.7,         431.0,         637.8,         903.2,         567.6
1999,         689.5,         374.6,         588.8,         847.2,         523.0
2000,         653.8,         349.1,         553.9,         828.1,         506.5
2001,         633.1,         371.1,         513.6,         815.2,         504.5
2002,         601.9,         357.3,         496.6,         822.7,         494.4
2003,         556.4,         352.3,         465.8,         806.4,         475.8
2004,         545.7,         325.9,         440.4,         789.9,         463.2
2005,         552.0,         324.0,         444.0,         767.0,         469.0
2006,         541.6,         321.6,         435.2,         771.1,         479.3
2007,         533.2,         335.8,         414.4,         785.7,         471.8
2008,         525.4,         337.6,         397.9,         731.0,         458.6
2009,         497.2,         334.0,         384.4,         675.2,         431.9
2010,         444.9,         323.3,         394.4,         602.2,         404.5
2011,         424.0,         331.8,         397.2,         596.9,         387.1
2012,         416.2,         344.8,         406.3,         560.5,         387.8
2013,         403.1,         359.6,         393.8,         508.5,         379.1
2014,         370.0,         365.3,         381.8,         497.7,         375.7
